Gärtringen;Gärtringen;5774;de:08115:5774;8115015;Gärtringen;Gärtringen;BB;4,58;"Bus;Nachtbus;R-Bahn;Ruftaxi;S-Bahn";S1,S11,RB14,753,759,768,768A,N77,RT753,RT759;10001_,10011_,11014_,31753_,31759_,31768_,31768a,34077_,50753_,50759_;10;10,11,31,34,50;8,908864487;48,64080021
Herrenberg;Herrenberg;4512;de:08115:4512;8115021;Herrenberg;Herrenberg;BB;5,68;"Bus;Nachtbus;R-Bahn;Ruftaxi;S-Bahn";S1,S11,RB14,RB60,RB63,753,773,779,780,782,783,790,791,794,N70,N77,N80,RB60E,RT773,RT779,RT780,RT782,RT783,RT794,RT77;10001_,10011_,11014_,11060_,11063_,31753_,31773_,31779_,31780_,31782_,31783_,31790_,31791_,31794_,34070_,34077_,34080_,36060e,50773_,50779_,50780_,50782_,50783_,50794_,51077_;25;10,11,31,34,36,50,51;8,862625253;48,59395697
Neckarpark (Mercedes-Benz);Neckarpark (Mercedes-Benz);6080;de:08111:6080;8111000;Stuttgart;Stuttgart;S;20,1;"R-Bahn;S-Bahn;SEV-Bus";S1,S11,RE12,MEX16,RB18,SEV B;10001_,10011_,11012_,11016_,11018_,36001e;6;10,11,36;9,24106855;48,79194362
Böblingen;Böblingen;7100;de:08115:7100;8115003;Böblingen;Böblingen;BB;48,3;"Bus;Nachtbus;R-Bahn;Ruftaxi;S-Bahn";S1,S11,S60,RB14,RB46,RB46A,631,701,701A,703,705,706,709,720,721,721A,723,724,725,728,731,732,732A,743,744,752,754,760,761,763,763A,766,N73,N74,N75,RT760,RT763,RT766,RT46;10001_,10011_,10060_,11014_,12046_,31046a,31631_,31701_,31701a,31703_,31705_,31706_,31709_,31720_,31721_,31721a,31723_,31724_,31725_,31728_,31731_,31732_,31732a,31743_,31744_,31752_,31754_,31760_,31761_,31763_,31763a,31766_,34073_,34074_,34075_,50760_,50763_,50766_,51046_;39;10,11,12,31,34,50,51;9,004531864;48,68784871
Ötlingen;Ötlingen;4345;de:08116:4345;8116033;Kirchheim unter Teck;Ötlingen;ES;5,61;"Bus;Ruftaxi;S-Bahn;SEV-Bus";S1,S1E,161,163,164,RT161,RT163;10001_,31001e,31161_,31163_,31164_,50161_,50163_;7;10,31,50;9,416261302;48,65782388
Hauptbahnhof (oben);Hauptbahnhof (oben);6115;de:08111:6115;8111000;Stuttgart;Stuttgart;S;10,1;"R-Bahn;S-Bahn";S1,S2,S3,S4,S5,S6,S23,IRE1,RE5,IRE6,RE8,RE12,MEX13,RB14,MEX16,RB17,RB18,MEX19,RE90;10001_,10002_,10003_,10004_,10005_,10006_,10023_,11001_,11005_,11006_,11008_,11012_,11013_,11014_,11016_,11017_,11018_,11019_,11080_,11090_;20;10,11;9,183172973;48,78473069
Geradstetten;Geradstetten;1702;de:08119:1702;8119090;Remshalden;Geradstetten;WN;4,3,42,52;"R-Bahn;S-Bahn";S2,IRE1,MEX13;10002_,11001_,11013_;3;10,11;9,439522346;48,80527689
Weiler (R);Weiler (R);1704;de:08119:1704;8119067;Schorndorf;Weiler (Schorndorf);WN;52,4;"R-Bahn;S-Bahn";S2,IRE1,MEX13;10002_,11001_,11013_;3;10,11;9,501891172;48,80034585
Winterbach;Winterbach;1705;de:08119:1705;8119086;Winterbach;Winterbach;WN;52,4;"R-Bahn;S-Bahn";S2,IRE1,MEX13;10002_,11001_,11013_;3;10,11;9,481549751;48,79842743
Endersbach;Endersbach;7704;de:08119:7704;8119091;Weinstadt;Endersbach;WN;3,42;"Bus;Nachtbus;R-Bahn;Ruftaxi;S-Bahn;SEV-Bus";S2,IRE1,MEX13,114,202,204,206,209,217A,219,222,N21,SEV A,RT202,RT206;10002_,11001_,11013_,31114_,31202_,31204_,31206_,31209_,31217a,31219_,31222_,34021_,36002e,50202_,50206_;15;10,11,31,34,36,50;9,370192421;48,81317323
